name,heading_font,heading_weight,body_font,body_weight,letter_spacing_heading,letter_spacing_body,line_height_heading,line_height_body,mood,tags
Classic Elegant,Playfair Display,700,Inter,400,-0.5px,0px,1.1,1.6,"elegant, luxury, sophisticated, timeless, premium, editorial","Luxury brands, fashion, spa, beauty, editorial, magazines, high-end e-commerce"
Modern Professional,Poppins,700,Open Sans,400,-0.5px,0px,1.1,1.6,"modern, professional, clean, corporate, friendly, approachable","SaaS, corporate sites, business apps, startups, professional services"
Tech Startup,Space Grotesk,700,DM Sans,400,-0.5px,0px,1.1,1.6,"tech, startup, modern, innovative, bold, futuristic","Tech companies, startups, SaaS, developer tools, AI products"
Editorial Classic,Cormorant Garamond,700,Libre Baskerville,400,-0.5px,0px,1.1,1.6,"editorial, classic, literary, traditional, refined, bookish","Publishing, blogs, news sites, literary magazines, book covers"
Minimal Swiss,Inter,700,Inter,400,-0.5px,0px,1.1,1.6,"minimal, clean, swiss, functional, neutral, professional","Dashboards, admin panels, documentation, enterprise apps, design systems"
Playful Creative,Fredoka,700,Nunito,400,-0.5px,0px,1.1,1.6,"playful, friendly, fun, creative, warm, approachable","Children's apps, educational, gaming, creative tools, entertainment"
Bold Statement,Bebas Neue,700,Source Sans 3,400,-0.5px,0px,1.1,1.6,"bold, impactful, strong, dramatic, modern, headlines","Marketing sites, portfolios, agencies, event pages, sports"
Wellness Calm,Lora,700,Raleway,400,-0.5px,0px,1.1,1.6,"calm, wellness, health, relaxing, natural, organic","Health apps, wellness, spa, meditation, yoga, organic brands"
Developer Mono,JetBrains Mono,700,IBM Plex Sans,400,-0.5px,0px,1.1,1.6,"code, developer, technical, precise, functional, hacker","Developer tools, documentation, code editors, tech blogs, CLI apps"
Retro Vintage,Abril Fatface,700,Merriweather,400,-0.5px,0px,1.1,1.6,"retro, vintage, nostalgic, dramatic, decorative, bold","Vintage brands, breweries, restaurants, creative portfolios, posters"
Geometric Modern,Outfit,700,Work Sans,400,-0.5px,0px,1.1,1.6,"geometric, modern, clean, balanced, contemporary, versatile","General purpose, portfolios, agencies, modern brands, landing pages"
Luxury Serif,Cormorant,700,Montserrat,400,-0.5px,0px,1.1,1.6,"luxury, high-end, fashion, elegant, refined, premium","Fashion brands, luxury e-commerce, jewelry, high-end services"
Friendly SaaS,Plus Jakarta Sans,700,Plus Jakarta Sans,400,-0.5px,0px,1.1,1.6,"friendly, modern, saas, clean, approachable, professional","SaaS products, web apps, dashboards, B2B, productivity tools"
News Editorial,Newsreader,700,Roboto,400,-0.5px,0px,1.1,1.6,"news, editorial, journalism, trustworthy, readable, informative","News sites, blogs, magazines, journalism, content-heavy sites"
Handwritten Charm,Caveat,700,Quicksand,400,-0.5px,0px,1.1,1.6,"handwritten, personal, friendly, casual, warm, charming","Personal blogs, invitations, creative portfolios, lifestyle brands"
Corporate Trust,Lexend,700,Source Sans 3,400,-0.5px,0px,1.1,1.6,"corporate, trustworthy, accessible, readable, professional, clean","Enterprise, government, healthcare, finance, accessibility-focused"
Brutalist Raw,Space Mono,700,Space Mono,400,-0.5px,0px,1.1,1.6,"brutalist, raw, technical, monospace, minimal, stark","Brutalist designs, developer portfolios, experimental, tech art"
Fashion Forward,Syne,700,Manrope,400,-0.5px,0px,1.1,1.6,"fashion, avant-garde, creative, bold, artistic, edgy","Fashion brands, creative agencies, art galleries, design studios"
Soft Rounded,Varela Round,700,Nunito Sans,400,-0.5px,0px,1.1,1.6,"soft, rounded, friendly, approachable, warm, gentle","Children's products, pet apps, friendly brands, wellness, soft UI"
Vietnamese Friendly,Be Vietnam Pro,700,Noto Sans,400,-0.5px,0px,1.1,1.6,"vietnamese, international, readable, clean, multilingual, accessible","Vietnamese sites, multilingual apps, international products"
Japanese Elegant,Noto Serif JP,700,Noto Sans JP,400,-0.5px,0px,1.1,1.6,"japanese, elegant, traditional, modern, multilingual, readable","Japanese sites, Japanese restaurants, cultural sites, anime/manga"
Korean Modern,Noto Sans KR,700,Noto Sans KR,400,-0.5px,0px,1.1,1.6,"korean, modern, clean, professional, multilingual, readable","Korean sites, K-beauty, K-pop, Korean businesses, multilingual"
Chinese Traditional,Noto Serif TC,700,Noto Sans TC,400,-0.5px,0px,1.1,1.6,"chinese, traditional, elegant, cultural, multilingual, readable","Traditional Chinese sites, cultural content, Taiwan/Hong Kong markets"
Chinese Simplified,Noto Sans SC,700,Noto Sans SC,400,-0.5px,0px,1.1,1.6,"chinese, simplified, modern, professional, multilingual, readable","Simplified Chinese sites, mainland China market, business apps"
Arabic Elegant,Noto Naskh Arabic,700,Noto Sans Arabic,400,-0.5px,0px,1.1,1.6,"arabic, elegant, traditional, cultural, RTL, readable","Arabic sites, Middle East market, Islamic content, bilingual sites"
Thai Modern,Noto Sans Thai,700,Noto Sans Thai,400,-0.5px,0px,1.1,1.6,"thai, modern, readable, clean, multilingual, accessible","Thai sites, Southeast Asia, tourism, Thai restaurants"
Hebrew Modern,Noto Sans Hebrew,700,Noto Sans Hebrew,400,-0.5px,0px,1.1,1.6,"hebrew, modern, RTL, clean, professional, readable","Hebrew sites, Israeli market, Jewish content, bilingual sites"
Legal Professional,EB Garamond,700,Lato,400,-0.5px,0px,1.1,1.6,"legal, professional, traditional, trustworthy, formal, authoritative","Law firms, legal services, contracts, formal documents, government"
Medical Clean,Figtree,700,Noto Sans,400,-0.5px,0px,1.1,1.6,"medical, clean, accessible, professional, healthcare, trustworthy","Healthcare, medical clinics, pharma, health apps, accessibility"
Financial Trust,IBM Plex Sans,700,IBM Plex Sans,400,-0.5px,0px,1.1,1.6,"financial, trustworthy, professional, corporate, banking, serious","Banks, finance, insurance, investment, fintech, enterprise"
Real Estate Luxury,Cinzel,700,Josefin Sans,400,-0.5px,0px,1.1,1.6,"real estate, luxury, elegant, sophisticated, property, premium","Real estate, luxury properties, architecture, interior design"
Restaurant Menu,Playfair Display SC,700,Karla,400,-0.5px,0px,1.1,1.6,"restaurant, menu, culinary, elegant, foodie, hospitality","Restaurants, cafes, food blogs, culinary, hospitality"
Art Deco,Poiret One,700,Didact Gothic,400,-0.5px,0px,1.1,1.6,"art deco, vintage, 1920s, elegant, decorative, gatsby","Vintage events, art deco themes, luxury hotels, classic cocktails"
Magazine Style,Libre Bodoni,700,Public Sans,400,-0.5px,0px,1.1,1.6,"magazine, editorial, publishing, refined, journalism, print","Magazines, online publications, editorial content, journalism"
Crypto/Web3,Orbitron,700,Exo 2,400,-0.5px,0px,1.1,1.6,"crypto, web3, futuristic, tech, blockchain, digital","Crypto platforms, NFT, blockchain, web3, futuristic tech"
Gaming Bold,Russo One,700,Chakra Petch,400,-0.5px,0px,1.1,1.6,"gaming, bold, action, esports, competitive, energetic","Gaming, esports, action games, competitive sports, entertainment"
Indie/Craft,Amatic SC,700,Cabin,400,-0.5px,0px,1.1,1.6,"indie, craft, handmade, artisan, organic, creative","Craft brands, indie products, artisan, handmade, organic products"
E-commerce Clean,Rubik,700,Nunito Sans,400,-0.5px,0px,1.1,1.6,"ecommerce, clean, shopping, product, retail, conversion","E-commerce, online stores, product pages, retail, shopping"
Academic/Research,Crimson Pro,700,Atkinson Hyperlegible,400,-0.5px,0px,1.1,1.6,"academic, research, scholarly, accessible, readable, educational","Universities, research papers, academic journals, educational"
Dashboard Data,Fira Code,700,Fira Sans,400,-0.5px,0px,1.1,1.6,"dashboard, data, analytics, code, technical, precise","Dashboards, analytics, data visualization, admin panels"
Music/Entertainment,Righteous,700,Poppins,400,-0.5px,0px,1.1,1.6,"music, entertainment, fun, energetic, bold, performance","Music platforms, entertainment, events, festivals, performers"
Minimalist Portfolio,Archivo,700,Space Grotesk,400,-0.5px,0px,1.1,1.6,"minimal, portfolio, designer, creative, clean, artistic","Design portfolios, creative professionals, minimalist brands"
Kids/Education,Baloo 2,700,Comic Neue,400,-0.5px,0px,1.1,1.6,"kids, education, playful, friendly, colorful, learning","Children's apps, educational games, kid-friendly content"
Wedding/Romance,Great Vibes,700,Cormorant Infant,400,-0.5px,0px,1.1,1.6,"wedding, romance, elegant, script, invitation, feminine","Wedding sites, invitations, romantic brands, bridal"
Science/Tech,Exo,700,Roboto Mono,400,-0.5px,0px,1.1,1.6,"science, technology, research, data, futuristic, precise","Science, research, tech documentation, data-heavy sites"
Accessibility First,Atkinson Hyperlegible,700,Atkinson Hyperlegible,400,-0.5px,0px,1.1,1.6,"accessible, readable, inclusive, WCAG, dyslexia-friendly, clear","Accessibility-critical sites, government, healthcare, inclusive design"
Sports/Fitness,Barlow Condensed,700,Barlow,400,-0.5px,0px,1.1,1.6,"sports, fitness, athletic, energetic, condensed, action","Sports, fitness, gyms, athletic brands, competition"
Luxury Minimalist,Bodoni Moda,700,Jost,400,-0.5px,0px,1.1,1.6,"luxury, minimalist, high-end, sophisticated, refined, premium","Luxury minimalist brands, high-end fashion, premium products"
Tech/HUD Mono,Share Tech Mono,700,Fira Code,400,-0.5px,0px,1.1,1.6,"tech, futuristic, hud, sci-fi, data, monospaced, precise","Sci-fi interfaces, developer tools, cybersecurity, dashboards"
Pixel Retro,Press Start 2P,700,VT323,400,-0.5px,0px,1.1,1.6,"pixel, retro, gaming, 8-bit, nostalgic, arcade","Pixel art games, retro websites, creative portfolios"
Neubrutalist Bold,Lexend Mega,100,Public Sans,100,-0.5px,0px,1.1,1.6,"bold, neubrutalist, loud, strong, geometric, quirky","Neubrutalist designs, Gen Z brands, bold marketing"
Academic/Archival,EB Garamond,800,Crimson Text,400,-0.5px,0px,1.1,1.6,"academic, old-school, university, research, serious, traditional","University sites, archives, research papers, history"
Spatial Clear,Inter,600,Inter,400,-0.5px,0px,1.1,1.6,"spatial, legible, glass, system, clean, neutral","Spatial computing, AR/VR, glassmorphism interfaces"
Kinetic Motion,Syncopate,700,Space Mono,400,-0.5px,0px,1.1,1.6,"kinetic, motion, futuristic, speed, wide, tech","Music festivals, automotive, high-energy brands"
