name,primary,secondary,accent,background,text,mood,tags
SaaS (General),#2563EB,#3B82F6,#EA580C,#F8FAFC,#1E293B,Trust blue + orange CTA contrast,"saas, general"
Micro SaaS,#6366F1,#818CF8,#059669,#F5F3FF,#1E1B4B,Indigo primary + emerald CTA,"micro, saas"
E-commerce,#059669,#10B981,#EA580C,#ECFDF5,#064E3B,Success green + urgency orange,e-commerce
E-commerce Luxury,#1C1917,#44403C,#A16207,#FAFAF9,#0C0A09,Premium dark + gold accent,"e-commerce, luxury"
B2B Service,#0F172A,#334155,#0369A1,#F8FAFC,#020617,Professional navy + blue CTA,"b2b, service"
Financial Dashboard,#0F172A,#1E293B,#22C55E,#020617,#F8FAFC,Dark bg + green positive indicators,"financial, dashboard"
Analytics Dashboard,#1E40AF,#3B82F6,#D97706,#F8FAFC,#1E3A8A,Blue data + amber highlights,"analytics, dashboard"
Healthcare App,#0891B2,#22D3EE,#059669,#ECFEFF,#164E63,Calm cyan + health green,"healthcare, app"
Educational App,#4F46E5,#818CF8,#EA580C,#EEF2FF,#1E1B4B,Playful indigo + energetic orange,"educational, app"
Creative Agency,#EC4899,#F472B6,#0891B2,#FDF2F8,#831843,Bold pink + cyan accent,"creative, agency"
Portfolio/Personal,#18181B,#3F3F46,#2563EB,#FAFAFA,#09090B,Monochrome + blue accent,"portfolio, personal"
Gaming,#7C3AED,#A78BFA,#F43F5E,#0F0F23,#E2E8F0,Neon purple + rose action,gaming
Government/Public Service,#0F172A,#334155,#0369A1,#F8FAFC,#020617,High contrast navy + blue,"government, public, service"
Fintech/Crypto,#F59E0B,#FBBF24,#8B5CF6,#0F172A,#F8FAFC,Gold trust + purple tech,"fintech, crypto"
Social Media App,#E11D48,#FB7185,#2563EB,#FFF1F2,#881337,Vibrant rose + engagement blue,"social, media, app"
Productivity Tool,#0D9488,#14B8A6,#EA580C,#F0FDFA,#134E4A,Teal focus + action orange,"productivity, tool"
Design System/Component Library,#4F46E5,#6366F1,#EA580C,#EEF2FF,#312E81,Indigo brand + doc hierarchy,"design, system, component, library"
AI/Chatbot Platform,#7C3AED,#A78BFA,#0891B2,#FAF5FF,#1E1B4B,AI purple + cyan interactions,"ai, chatbot, platform"
NFT/Web3 Platform,#8B5CF6,#A78BFA,#FBBF24,#0F0F23,#F8FAFC,Purple tech + gold value,"nft, web3, platform"
